0.0194 0.0190068  0.00296369 9.98273e-07
0.0195 0.0189314  0.00298835 9.89263e-07
0.0196 0.0188562  0.00301316 9.80253e-07
0.0197 0.0187812  0.00303813 9.71242e-07
0.0198 0.0187063  0.00306327 9.62232e-07
0.0199 0.0186316  0.00308856 9.53222e-07
0.02 0.0185571  0.00311402 9.44212e-07
0.0201 0.0184827  0.00313964 9.35201e-07
0.0202 0.0184084  0.00316543 9.26191e-07
0.0203 0.0183344  0.00319139 9.17181e-07
0.0204 0.0182605  0.00321751 9.0817e-07
0.0205 0.0181868  0.00324381 8.9916e-07
0.0206 0.0181133  0.00327027 8.9015e-07
0.0207 0.0180399  0.00329691 8.8114e-07
0.0208 0.0179667  0.00332372 8.72129e-07
0.0209 0.0178937  0.00335071 8.63119e-07
0.021 0.0178208  0.00337787 8.54109e-07
0.0211 0.0177481  0.00340521 8.45099e-07
0.0212 0.0176757  0.00343273 8.36088e-07
0.0213 0.0176033  0.00346043 8.27078e-07
0.0214 0.0175312  0.00348831 8.18068e-07
0.0215 0.0174593  0.00351638 8.09058e-07
0.0216 0.0173875  0.00354463 8.00047e-07
0.0217 0.0173159  0.00357306 7.91037e-07
0.0218 0.0172446  0.00360168 7.82027e-07
0.0219 0.0171734  0.00363049 7.73017e-07
0.022 0.0171023  0.00365949 7.64007e-07
0.0221 0.0170315  0.00368868 7.54996e-07
0.0222 0.0169609  0.00371806 7.45986e-07
0.0223 0.0168905  0.00374764 7.36976e-07
0.0224 0.0168202  0.00377741 7.27966e-07
0.0225 0.0167502  0.00380738 7.18956e-07
0.0226 0.0166803  0.00383754 7.09946e-07
0.0227 0.0166107  0.00386791 7.00935e-07
0.0228 0.0165413  0.00389848 6.91925e-07
0.0229 0.016472  0.00392924 6.82915e-07
0.023 0.016403  0.00396022 6.73905e-07
0.0231 0.0163341  0.00399139 6.64895e-07
0.0232 0.0162655  0.00402278 6.55885e-07
0.0233 0.0161971  0.00405437 6.46875e-07
0.0234 0.0161289  0.00408617 6.37865e-07
0.0235 0.0160609  0.00411818 6.28854e-07
0.0236 0.0159931  0.0041504 6.19844e-07
0.0237 0.0159255  0.00418284 6.10834e-07
0.0238 0.0158582  0.00421549 6.01824e-07
0.0239 0.015791  0.00424836 5.92814e-07
0.024 0.0157241  0.00428144 5.83804e-07
0.0241 0.0156574  0.00431474 5.74794e-07
0.0242 0.0155909  0.00434827 5.65784e-07
0.0243 0.0155247  0.00438201 5.56774e-07
0.0244 0.0154586  0.00441598 5.47764e-07
0.0245 0.0153928  0.00445017 5.38754e-07
0.0246 0.0153272  0.00448459 5.29747e-07
0.0247 0.0152618  0.00451924 5.20734e-07
0.0248 0.0151967  0.00455411 5.11724e-07
0.0249 0.0151318  0.00458921 5.02714e-07
0.025 0.0150671  0.00462455 4.93704e-07
0.0251 0.0150027  0.00466012 4.84694e-07
0.0252 0.0149385  0.00469592 4.75684e-07
0.0253 0.0148745  0.00473195 4.66674e-07
0.0254 0.0148108  0.00476823 4.57664e-07
0.0255 0.0147473  0.00480474 4.48654e-07
0.0256 0.014684  0.00484149 4.39644e-07
0.0257 0.014621  0.00487848 4.30634e-07
0.0258 0.0145582  0.00491571 4.21624e-07
0.0259 0.0144957  0.00495319 4.12614e-07
0.026 0.0144334  0.00499091 4.03604e-07
0.0261 0.0143714  0.00502887 3.94594e-07
0.0262 0.0143096  0.00506709 3.85584e-07
0.0263 0.014248  0.00510555 3.76574e-07
0.0264 0.0141867  0.00514426 3.67564e-07
0.0265 0.0141257  0.00518322 3.58554e-07
0.0266 0.0140649  0.00522243 3.49544e-07
0.0267 0.0140043  0.0052619 3.40534e-07
0.0268 0.013944  0.00530162 3.31524e-07
0.0269 0.013884  0.00534159 3.22514e-07
0.027 0.0138242  0.00538182 3.13505e-07
0.0271 0.0137647  0.00542231 3.04495e-07
0.0272 0.0137054  0.00546306 2.95485e-07
0.0273 0.0136464  0.00550407 2.86475e-07
0.0274 0.0135877  0.00554533 2.77465e-07
0.0275 0.0135292  0.00558686 2.68455e-07
