0.0208 0.0182512  0.00331591 -4.0658e-11
0.0209 0.0181781  0.00334285 -4.05308e-11
0.021 0.0181052  0.00336997 -4.03974e-11
0.0211 0.0180325  0.00339726 -4.0258e-11
0.0212 0.01796  0.00342474 -4.01124e-11
0.0213 0.0178877  0.00345239 -3.99607e-11
0.0214 0.0178155  0.00348023 -3.98028e-11
0.0215 0.0177435  0.00350825 -3.96387e-11
0.0216 0.0176717  0.00353645 -3.94684e-11
0.0217 0.0176001  0.00356484 -3.92917e-11
0.0218 0.0175287  0.00359342 -3.91088e-11
0.0219 0.0174575  0.00362219 -3.89195e-11
0.022 0.0173864  0.00365114 -3.87239e-11
0.0221 0.0173156  0.00368029 -3.85219e-11
0.0222 0.0172449  0.00370962 -3.83134e-11
0.0223 0.0171744  0.00373916 -3.80985e-11
0.0224 0.0171042  0.00376888 -3.78771e-11
0.0225 0.0170341  0.00379881 -3.76492e-11
0.0226 0.0169642  0.00382893 -3.74148e-11
0.0227 0.0168945  0.00385925 -3.71738e-11
0.0228 0.016825  0.00388977 -3.69262e-11
0.0229 0.0167558  0.00392049 -3.6672e-11
0.023 0.0166867  0.00395142 -3.64111e-11
0.0231 0.0166178  0.00398255 -3.61436e-11
0.0232 0.0165492  0.00401389 -3.58693e-11
0.0233 0.0164807  0.00404544 -3.55883e-11
0.0234 0.0164125  0.00407719 -3.53005e-11
0.0235 0.0163444  0.00410916 -3.5006e-11
0.0236 0.0162766  0.00414134 -3.47046e-11
0.0237 0.016209  0.00417373 -3.43964e-11
0.0238 0.0161416  0.00420633 -3.40813e-11
0.0239 0.0160744  0.00423916 -3.37593e-11
0.024 0.0160075  0.00427219 -3.34303e-11
0.0241 0.0159407  0.00430545 -3.30944e-11
0.0242 0.0158742  0.00433893 -3.27515e-11
0.0243 0.0158079  0.00437263 -3.24017e-11
0.0244 0.0157418  0.00440655 -3.20447e-11
0.0245 0.015676  0.0044407 -3.16807e-11
0.0246 0.0156104  0.00447507 -3.13096e-11
0.0247 0.015545  0.00450967 -3.09314e-11
0.0248 0.0154798  0.0045445 -3.05461e-11
0.0249 0.0154148  0.00457956 -3.01535e-11
0.025 0.0153501  0.00461485 -2.97538e-11
0.0251 0.0152857  0.00465037 -2.93469e-11
0.0252 0.0152214  0.00468613 -2.89327e-11
0.0253 0.0151574  0.00472212 -2.85112e-11
0.0254 0.0150936  0.00475835 -2.80824e-11
0.0255 0.0150301  0.00479482 -2.76463e-11
0.0256 0.0149668  0.00483152 -2.72028e-11
0.0257 0.0149037  0.00486847 -2.6752e-11
0.0258 0.0148409  0.00490565 -2.62938e-11
0.0259 0.0147784  0.00494308 -2.58281e-11
0.026 0.014716  0.00498076 -2.53549e-11
0.0261 0.014654  0.00501868 -2.48743e-11
0.0262 0.0145921  0.00505685 -2.43862e-11
0.0263 0.0145305  0.00509526 -2.38906e-11
0.0264 0.0144692  0.00513393 -2.33873e-11
0.0265 0.0144081  0.00517284 -2.28765e-11
0.0266 0.0143473  0.00521201 -2.23581e-11
0.0267 0.0142867  0.00525143 -2.18321e-11
0.0268 0.0142264  0.0052911 -2.12984e-11
0.0269 0.0141663  0.00533103 -2.07571e-11
0.027 0.0141065  0.00537122 -2.0208e-11
0.0271 0.0140469  0.00541166 -1.96512e-11
0.0272 0.0139876  0.00545236 -1.90866e-11
0.0273 0.0139286  0.00549333 -1.85143e-11
0.0274 0.0138698  0.00553455 -1.79342e-11
0.0275 0.0138113  0.00557603 -1.73462e-11
0.0276 0.0137531  0.00561778 -1.67504e-11
0.0277 0.0136951  0.0056598 -1.61467e-11
0.0278 0.0136374  0.00570207 -1.55351e-11
0.0279 0.0135799  0.00574462 -1.49156e-11
0.028 0.0135227  0.00578743 -1.42881e-11
0.0281 0.0134658  0.0058305 -1.36527e-11
0.0282 0.0134091  0.00587385 -1.30093e-11
0.0283 0.0133527  0.00591747 -1.23579e-11
0.0284 0.0132966  0.00596136 -1.16984e-11
0.0285 0.0132408  0.00600552 -1.10308e-11
0.0286 0.0131852  0.00604995 -1.03552e-11
0.0287 0.0131299  0.00609465 -9.67147e-12
0.0288 0.0130749  0.00613963 -8.9796e-12
0.0289 0.0130202  0.00618489 -8.27957e-12
0.029 0.0129657  0.00623042 -7.57137e-12
0.0291 0.0129115  0.00627623 -6.85496e-12
0.0292 0.0128576  0.00632231 -6.13033e-12
0.0293 0.012804  0.00636867 -5.39745e-12
0.0294 0.0127506  0.00641531 -4.65629e-12
0.0295 0.0126975  0.00646223 -3.90685e-12
0.0296 0.0126447  0.00650943 -3.14909e-12
0.0297 0.0125922  0.00655691 -2.38299e-12
0.0298 0.01254  0.00660467 -1.60854e-12
0.0299 0.012488  0.00665271 -8.25696e-13
0.03 0.0124363  0.00670104 -3.44507e-14
0.0301 0.0123849  0.00674964 -1.95521e-14
0.0302 0.0123338  0.00679853 -1.44355e-14
0.0303 0.012283  0.0068477 -9.29465e-15
0.0304 0.0122324  0.00689716 -4.13038e-15
0.0305 0.0121822  0.0069469 -2.34188e-17
0.0306 0.0121322  0.00699692 1.82146e-17
0.0307 0.0120825  0.00704723 1.73472e-18
0.0308 0.0120331  0.00709782 5.20417e-18
0.0309 0.011984  0.0071487 -2.42861e-17
0.031 0.0119351  0.00719987 -8.67362e-18
0.0311 0.0118866  0.00725132 -1.47451e-17
0.0312 0.0118383  0.00730305 -1.73472e-18
0.0313 0.0117904  0.00735507 2.60209e-18
0.0314 0.0117427  0.00740738 -1.30104e-17
0.0315 0.0116953  0.00745997 2.60209e-18
0.0316 0.0116481  0.00751285 -2.25514e-17
0.0317 0.0116013  0.00756601 1.73472e-18
0.0318 0.0115547  0.00761946 -2.08167e-17
0.0319 0.0115085  0.0076732 6.07153e-18
0.032 0.0114625  0.00772722 -1.73472e-17
0.0321 0.0114168  0.00778153 -3.46945e-18
0.0322 0.0113714  0.00783612 -1.38778e-17
0.0323 0.0113263  0.007891 -2.77556e-17
0.0324 0.0112814  0.00794616 -8.67362e-18
0.0325 0.0112369  0.00800161 -3.1225e-17
0.0326 0.0111926  0.00805734 -6.93889e-18
0.0327 0.0111486  0.00811336 -1.56125e-17
0.0328 0.0111049  0.00816966 1.73472e-18
0.0329 0.0110615  0.00822624 6.93889e-18
0.033 0.0110184  0.00828311 -3.46945e-18
0.0331 0.0109755  0.00834026 -3.29597e-17
0.0332 0.010933  0.00839769 -1.73472e-18
0.0333 0.0108907  0.0084554 -5.20417e-18
0.0334 0.0108487  0.00851339 -1.73472e-17
0.0335 0.0108069  0.00857167 -1.73472e-17
0.0336 0.0107655  0.00863022 -1.73472e-18
0.0337 0.0107243  0.00868906 -1.38778e-17
0.0338 0.0106834  0.00874817 -1.04083e-17
0.0339 0.0106428  0.00880756 0
0.034 0.0106025  0.00886723 -1.56125e-17
0.0341 0.0105624  0.00892717 0
0.0342 0.0105227  0.00898739 -3.98986e-17
0.0343 0.0104832  0.00904789 -3.46945e-18
0.0344 0.0104439  0.00910865 -1.56125e-17
0.0345 0.010405  0.0091697 -3.46945e-18
0.0346 0.0103663  0.00923101 -2.60209e-17
0.0347 0.0103279  0.0092926 -1.38778e-17
0.0348 0.0102897  0.00935446 -2.25514e-17
0.0349 0.0102519  0.00941659 1.21431e-17
0.035 0.0102143  0.00947898 -1.21431e-17
0.0351 0.0101769  0.00954165 -3.46945e-18
0.0352 0.0101399  0.00960458 -1.21431e-17
0.0353 0.0101031  0.00966778 -6.93889e-18
0.0354 0.0100665  0.00973124 -2.60209e-17
0.0355 0.0100302  0.00979497 -6.93889e-18
0.0356 0.00999424  0.00985896 -1.04083e-17
0.0357 0.00995849  0.00992321 -2.08167e-17
0.0358 0.009923  0.00998772 -1.73472e-18
0.0359 0.00988777  0.0100525 -1.04083e-17
0.036 0.0098528  0.0101175 -8.67362e-18
0.0361 0.00981808  0.0101828 -1.04083e-17
0.0362 0.00978363  0.0102483 -3.46945e-18
0.0363 0.00974942  0.0103141 -6.93889e-18
0.0364 0.00971547  0.0103802 1.73472e-18
0.0365 0.00968177  0.0104465 6.93889e-18
0.0366 0.00964833  0.010513 5.20417e-18
0.0367 0.00961513  0.0105798 -5.20417e-18
0.0368 0.00958218  0.0106469 -2.60209e-17
0.0369 0.00954948  0.0107142 0
0.037 0.00951702  0.0107817 1.56125e-17
0.0371 0.00948481  0.0108495 0
0.0372 0.00945284  0.0109176 -6.93889e-18
0.0373 0.00942111  0.0109858 0
0.0374 0.00938962  0.0110543 -1.04083e-17
0.0375 0.00935837  0.0111231 0
0.0376 0.00932736  0.0111921 -5.20417e-18
0.0377 0.00929658  0.0112613 -1.38778e-17
0.0378 0.00926604  0.0113308 -2.42861e-17
0.0379 0.00923573  0.0114004 1.21431e-17
0.038 0.00920565  0.0114704 -6.93889e-18
0.0381 0.0091758  0.0115405 -3.46945e-18
0.0382 0.00914619  0.0116109 1.73472e-18
0.0383 0.00911679  0.0116815 -8.67362e-18
0.0384 0.00908763  0.0117523 -2.08167e-17
0.0385 0.00905869  0.0118234 -8.67362e-18
0.0386 0.00902997  0.0118947 -2.08167e-17
0.0387 0.00900147  0.0119662 -5.20417e-18
0.0388 0.0089732  0.0120379 -1.73472e-17
0.0389 0.00894514  0.0121099 -5.20417e-18
0.039 0.00891729  0.012182 3.46945e-18
0.0391 0.00888967  0.0122544 -1.56125e-17
0.0392 0.00886225  0.012327 1.04083e-17
0.0393 0.00883505  0.0123998 0
0.0394 0.00880806  0.0124728 -3.46945e-18
0.0395 0.00878128  0.012546 -6.93889e-18
0.0396 0.00875471  0.0126194 -6.93889e-18
0.0397 0.00872834  0.0126931 -6.93889e-18
0.0398 0.00870218  0.0127669 -2.60209e-17
0.0399 0.00867622  0.0128409 1.56125e-17
0.04 0.00865047  0.0129152 -5.20417e-18
0.0401 0.00862491  0.0129896 -3.46945e-18
0.0402 0.00859955  0.0130643 -3.46945e-18
0.0403 0.00857439  0.0131391 -8.67362e-18
0.0404 0.00854943  0.0132141 -5.20417e-18
0.0405 0.00852466  0.0132894 -1.21431e-17
0.0406 0.00850008  0.0133648 -6.93889e-18
0.0407 0.00847569  0.0134404 -1.21431e-17
0.0408 0.00845149  0.0135162 -1.9082e-17
0.0409 0.00842748  0.0135922 -2.94903e-17
0.041 0.00840366  0.0136684 -1.21431e-17
0.0411 0.00838002  0.0137447 5.20417e-18
0.0412 0.00835656  0.0138213 3.46945e-18
0.0413 0.00833329  0.013898 -8.67362e-18
0.0414 0.0083102  0.0139749 -5.20417e-18
0.0415 0.00828729  0.014052 -8.67362e-18
0.0416 0.00826455  0.0141293 -3.46945e-18
0.0417 0.00824199  0.0142067 -1.21431e-17
0.0418 0.00821961  0.0142843 0
0.0419 0.0081974  0.0143621 -1.73472e-17
0.042 0.00817536  0.0144401 -1.73472e-18
0.0421 0.00815349  0.0145182 -1.38778e-17
0.0422 0.00813179  0.0145965 -3.46945e-17
0.0423 0.00811025  0.014675 -2.42861e-17
0.0424 0.00808889  0.0147536 8.67362e-18
0.0425 0.00806768  0.0148324 -2.08167e-17
0.0426 0.00804665  0.0149114 -1.56125e-17
0.0427 0.00802577  0.0149905 -1.73472e-17
0.0428 0.00800505  0.0150698 -8.67362e-18
0.0429 0.00798449  0.0151492 0
0.043 0.00796409  0.0152288 -5.20417e-18
0.0431 0.00794385  0.0153086 -2.10405e-14
0.0432 0.00792376  0.0153885 -2.09156e-14
0.0433 0.00790383  0.0154685 -2.07195e-14
0.0434 0.00788404  0.0155488 -2.052e-14
0.0435 0.00786441  0.0156291 -2.0246e-14
0.0436 0.00784493  0.0157096 -1.99268e-14
0.0437 0.00782559  0.0157903 -1.9585e-14
0.0438 0.0078064  0.0158711 -1.92277e-14
0.0439 0.00778736  0.0159521 -1.88252e-14
0.044 0.00776846  0.0160332 -1.83967e-14
0.0441 0.00774971  0.0161144 -1.79804e-14
0.0442 0.00773109  0.0161958 -1.75398e-14
0.0443 0.00771262  0.0162773 -1.712e-14
0.0444 0.00769429  0.016359 -1.6636e-14
0.0445 0.00767609  0.0164408 -1.73472e-17
0.0446 0.00765803  0.0165228 -8.67362e-18
0.0447 0.00764011  0.0166048 6.93889e-18
0.0448 0.00762232  0.016687 -8.67362e-18
0.0449 0.00760466  0.0167694 -2.60209e-17
0.045 0.00758713  0.0168519 -1.38778e-17
0.0451 0.00756974  0.0169345 1.73472e-17
0.0452 0.00755247  0.0170172 -1.56125e-17
0.0453 0.00753534  0.0171001 -1.04083e-17
0.0454 0.00751833  0.017183 -1.38778e-17
0.0455 0.00750144  0.0172662 -5.20417e-18
0.0456 0.00748468  0.0173494 5.20417e-18
0.0457 0.00746804  0.0174328 -1.38778e-17
0.0458 0.00745153  0.0175163 1.04083e-17
0.0459 0.00743514  0.0175999 -1.73472e-17
0.046 0.00741886  0.0176836 1.04083e-17
0.0461 0.00740271  0.0177674 8.67362e-18
0.0462 0.00738667  0.0178514 -3.46945e-18
0.0463 0.00737075  0.0179355 6.93889e-18
0.0464 0.00735495  0.0180197 3.46945e-18
0.0465 0.00733926  0.018104 0
0.0466 0.00732369  0.0181884 1.38778e-17
0.0467 0.00730822  0.0182729 -1.73472e-18
0.0468 0.00729287  0.0183576 -1.56125e-17
0.0469 0.00727763  0.0184424 -6.93889e-18
0.047 0.0072625  0.0185272 -3.1225e-17
0.0471 0.00724748  0.0186122 -1.73472e-17
0.0472 0.00723256  0.0186973 -1.73472e-17
0.0473 0.00721775  0.0187825 3.46945e-18
0.0474 0.00720305  0.0188678 -8.67362e-18
0.0475 0.00718845  0.0189532 -6.93889e-18
0.0476 0.00717395  0.0190387 3.46945e-18
0.0477 0.00715956  0.0191243 8.67362e-18
0.0478 0.00714527  0.01921 -8.67362e-18
0.0479 0.00713108  0.0192958 -3.46945e-18
0.048 0.00711699  0.0193817 -1.73472e-17
0.0481 0.007103  0.0194677 -2.08167e-17
0.0482 0.0070891  0.0195538 -3.1225e-17
0.0483 0.0070753  0.01964 -1.73472e-17
0.0484 0.0070616  0.0197263 1.38778e-17
0.0485 0.00704799  0.0198127 -3.46945e-18
0.0486 0.00703448  0.0198992 -1.21431e-17
0.0487 0.00702106  0.0199858 -1.04083e-17
0.0488 0.00700774  0.0200725 -3.46945e-18
0.0489 0.0069945  0.0201592 -1.56125e-17
0.049 0.00698136  0.0202461 -1.04083e-17
0.0491 0.0069683  0.020333 -2.08167e-17
0.0492 0.00695534  0.0204201 -1.04083e-17
0.0493 0.00694246  0.0205072 6.93889e-18
0.0494 0.00692967  0.0205944 0
0.0495 0.00691697  0.0206817 -1.21431e-17
0.0496 0.00690436  0.0207691 -2.77556e-17
0.0497 0.00689182  0.0208565 1.73472e-18
0.0498 0.00687938  0.0209441 -1.38778e-17
0.0499 0.00686701  0.0210317 -3.46945e-18
